WinningHand,NumWinners,FavouredHand,UnfavouredHand,FavouredHandClass,UnfavouredHandClass,FavouredWon,P(FavouredWins),P(FavouredLoses),P(Tie),P(ThisOutcome),Sum(Ps),AllHands,
Kc Ah,1,3d 0h 0m 3s,Kc Ah,33,AK,0,0.535205781216,0.459768242088,0.005025976696,0.459768242088,1.000000000000,Kc Ah,3d 0h 0m 3s
9c Kc,1, 7d Ac,9c Kc,A7,K9 s,0,0.565196951009,0.430146749643,0.004656299349,0.430146749643,1.000000000000,9c Kc, 7d Ac
7h Ks,1, 6s Ac,7h Ks,A6,K7,0,0.596484619554,0.399603107859,0.003912272587,0.399603107859,1.000000000000,7h Ks, 6s Ac
6s 7c,1, Js Qd,6s 7c,QJ,76,0,0.645774932489,0.345608606883,0.008616460628,0.345608606883,1.000000000000,Js Qd, 6s 7c
5c Ad,1, 5c Ad,Th Kc,A5,KT,1,0.567299965427,0.428145936703,0.004554097870,0.567299965427,1.000000000000,Th Kc, 5c Ad
Draw,2, Qc Kd,Qh Jd,KQ,QJ,0,0.729353549370,0.245611176520,0.025035274110,0.025035274110,1.000000000000,Qc Kd, Qh Jd
Ad Kc,1, Ad Kc,8c Ts,AK,T8,1,0.637866290098,0.357993090012,0.004140619890,0.637866290098,1.000000000000,Ad Kc, 8c Ts
8s Jh,1, Jd Kh,8s Jh,KJ,J8,0,0.730998117157,0.239179491492,0.029822391351,0.239179491492,1.000000000000,Jd Kh, 8s Jh
Th Tc,1, Th Tc,Kh 3c,TT,K3,1,0.724361445164,0.270700763416,0.004937791420,0.724361445164,1.000000000000,Th Tc, Kh 3c
Qs Qc,1, Qs Qc,8d 0h 0m 8s,QQ,88,1,0.806788397387,0.189386347284,0.003825255328,0.806788397387,1.000000000000,Qs Qc,8d 0h 0m 8s
Th Tc,1, Th Tc,Ac 7c,TT,A7 s,1,0.680634980704,0.315279296200,0.004085723096,0.680634980704,1.000000000000,Th Tc, Ac 7c
Ad Qs,1, Ad Qs,Qc Th,AQ,QT,1,0.714665736925,0.271553999757,0.013780263318,0.714665736925,1.000000000000,Ad Qs, Qc Th
9h 9c,1, 9h 9c,Qh Ac,99,AQ,1,0.547432582065,0.447920462722,0.004646955214,0.547432582065,1.000000000000,9h 9c, Qh Ac
7c Ac,1, 7c Ac,Jh Qc,A7 s,QJ,1,0.575544412674,0.419662630000,0.004792957325,0.575544412674,1.000000000000,7c Ac, Jh Qc
9d Ac,1, 9d Ac,Ad 5h,A9,A5,1,0.589942556929,0.252602341640,0.157455101431,0.589942556929,1.000000000000,9d Ac, Ad 5h
Ks Kh,1, Ks Kh,Qh Js,KK,QJ,1,0.869482288192,0.125624305030,0.004893406778,0.869482288192,1.000000000000,Ks Kh, Qh Js
7c 6s,1,7d 8h,7c 6s,87,76,0,0.622767335707,0.244200796120,0.133031868173,0.244200796120,1.000000000000,7c 6s,7d 8h
Qs Ac,1, 8d 8c,Qs Ac,88,AQ,0,0.550940136798,0.445365425766,0.003694437436,0.445365425766,1.000000000000,Qs Ac, 8d 8c
As 6c,1, As 6c,Kc Tc,A6,KT s,1,0.537499766397,0.457689756025,0.004810477579,0.537499766397,1.000000000000,Kc Tc, As 6c
8h 8c,1, 8h 8c,Ac Qh,88,AQ,1,0.546466048085,0.449044678982,0.004489272933,0.546466048085,1.000000000000,Ac Qh, 8h 8c
Draw,2, 5s Ad,As 4c,A5,A4,0,0.331092492922,0.223758164438,0.445149342640,0.445149342640,1.000000000000,5s Ad, As 4c
6h 6c,1, Kc Kd,6h 6c,KK,66,0,0.803148272737,0.193303291939,0.003548435325,0.193303291939,1.000000000000,Kc Kd, 6h 6c
As Js,1,5d 0h 0m 5s,As Js,55,AJ s,0,0.512523477140,0.482489674731,0.004986848130,0.482489674731,1.000000000000,As Js,5d 0h 0m 5s
7d 7h,1,7d 7h,Kd Ts,77,KT,1,0.536901741747,0.458981582710,0.004116675544,0.536901741747,1.000000000000,7d 7h, Kd Ts
Qd Js,1, Kd Ts,Qd Js,KT,QJ,0,0.592625491735,0.399750277988,0.007624230277,0.399750277988,1.000000000000,Qd Js, Kd Ts
Jc Js,1, Jc Js,Kd Ah,JJ,AK,1,0.570907385604,0.425829175193,0.003263439202,0.570907385604,1.000000000000,Jc Js, Kd Ah
6d Ac,1, 3d 3c,6d Ac,33,A6,0,0.535675324008,0.458238139956,0.006086536036,0.458238139956,1.000000000000,3d 3c, 6d Ac
Draw,2, 3s As,Qh 7h,A3 s,Q7 s,0,0.579561806782,0.415458353190,0.004979840028,0.004979840028,1.000000000000,3s As, Qh 7h
8s Qh,1, 7h Ad,8s Qh,A7,Q8,0,0.583748563339,0.412353764285,0.003897672376,0.412353764285,1.000000000000,7h Ad, 8s Qh
8c Th,1, Qh Ks,8c Th,KQ,T8,0,0.649962857063,0.343451279679,0.006585863258,0.343451279679,1.000000000000,Qh Ks, 8c Th
6d 0h 0m 6s,1,6d 0h 0m 6s,5h 5c,66,55,1,0.797337388688,0.183906596025,0.018756015287,0.797337388688,1.000000000000,6d 0h 0m 6s, 5h 5c
Jh Qh,1, Jh Qh,7h 0m 7s,QJ s,77,1,0.499576009867,0.495082064867,0.005341925266,0.499576009867,1.000000000000,Jh Qh,7h 0m 7s
Ks Jh,1, Ks Jh,Qd 8h,KJ,Q8,1,0.647480237154,0.345829946084,0.006689816762,0.647480237154,1.000000000000,Ks Jh, Qd 8h
8d 0h 0m 9s,1, Ks As,8d 0h 0m 9s,AK s,98,0,0.653513628421,0.341710350499,0.004776021080,0.341710350499,1.000000000000,Ks As,8d 0h 0m 9s
Td Qd,1, Td Qd,8s,QT s,82s,1,0.658654070772,0.332292046272,0.009053882955,0.658654070772,1.000000000000,Td Qd,8s
6c 6h,1, 6c 6h,6s As,66,A6 s,1,0.641884268214,0.331931129052,0.026184602734,0.641884268214,1.000000000000,6c 6h, 6s As
As 8h,1, 6c 6h,As 8h,66,A8,0,0.558535750661,0.437646586120,0.003817663219,0.437646586120,1.000000000000,6c 6h, As 8h
Draw,2, Ah Qs,Ac Qh,AQ,AQ,0,0.018212887431,0.010916285893,0.970870826676,0.970870826676,1.000000000000,Ac Qh, Ah Qs
Ah 3d,1, Ah 3d,Qh 9h,A3,Q9 s,1,0.546620226315,0.447929806857,0.005449966828,0.546620226315,1.000000000000,Qh 9h, Ah 3d
Kh Qc,1, Kh Qc,4h Jc,KQ,J4,1,0.688645824573,0.303553574599,0.007800600828,0.688645824573,1.000000000000,Kh Qc, 4h Jc
Kc Kh,1, Kc Kh,Qh Qd,KK,QQ,1,0.817023729431,0.178327563330,0.004648707239,0.817023729431,1.000000000000,Kc Kh, Qh Qd
Kh Ks,1, Kh Ks,Ac 8c,KK,A8 s,1,0.675942472832,0.320522524038,0.003535003130,0.675942472832,1.000000000000,Kh Ks, Ac 8c
Ad 3h,1, 4d 4c,Ad 3h,44,A3,0,0.687313701305,0.306770877134,0.005915421561,0.306770877134,1.000000000000,4d 4c, Ad 3h
6h Ad,1, 8d As,6h Ad,A8,A6,0,0.557645721788,0.234496327755,0.207857950457,0.234496327755,1.000000000000,8d As, 6h Ad
